training_size,model_type,trial_id,lambda,df,aicc
540,lasso,2,5.023307109528506e-4,40,-502.2644192137985
540,lasso,2,4.577050350732525e-4,40,-503.2078745046999
540,lasso,2,4.1704378124528144e-4,40,-504.0497403154748
540,lasso,2,3.7999476114027584e-4,40,-504.79880049378625
540,lasso,2,3.462370738700207e-4,40,-505.46315053928123
540,lasso,2,3.154783264967703e-4,40,-506.0516900185207
540,lasso,2,2.874521014654994e-4,40,-506.57041111627217
540,lasso,2,2.619156490224937e-4,41,-504.6920684504239
540,lasso,2,2.3864778463311253e-4,41,-505.10166938339944
540,lasso,2,2.1744697318716252e-4,41,-505.4645740925715
540,lasso,2,1.981295833981859e-4,41,-505.78455066888273
540,lasso,2,1.8052829727710474e-4,41,-506.0662557741945
540,lasso,2,1.6449066090384312e-4,41,-506.3010116139585
540,lasso,2,1.4987776394440405e-4,41,-506.54573288536164
540,lasso,2,1.365630364760099e-4,42,-504.38262665817626
540,lasso,2,1.2443115269898127e-4,43,-502.2109348499512
540,lasso,2,1.1337703203983107e-4,43,-502.38110571276854
540,lasso,2,1.0330492899360661e-4,42,-504.8968984446261
540,lasso,2,9.412760382212952e-5,42,-505.0364118733654
540,lasso,2,8.57655669251184e-5,42,-505.1648526818136
540,lasso,2,7.814639033929833e-5,42,-505.2817795266209
540,lasso,2,7.12040804020319e-5,42,-505.3891850068047
540,lasso,2,6.487850614578429e-5,42,-505.4896183448891
540,lasso,2,5.9114878472448515e-5,42,-505.5838366288734
540,lasso,2,5.386327559638839e-5,43,-503.31346384538097
