training_size,cost,gamma,param_type,trial_id,seeds,total,correct,accuracy,misclassification
540,200.0,0.002,minimum_error,B030,5983,2154,1937,0.8992571959145775,0.10074280408542247
540,200.0,0.002,minimum_error,B031,5563,2154,1950,0.9052924791086351,0.09470752089136492
540,200.0,0.002,minimum_error,B032,1224,2154,1932,0.8969359331476323,0.10306406685236769
540,200.0,0.002,minimum_error,B033,9896,2154,1923,0.8927576601671309,0.10724233983286913
540,200.0,0.002,minimum_error,B034,3980,2154,1943,0.9020427112349118,0.09795728876508825
540,200.0,0.002,minimum_error,B035,3836,2154,1960,0.9099350046425255,0.09006499535747448
540,200.0,0.002,minimum_error,B036,2851,2154,1932,0.8969359331476323,0.10306406685236769
540,200.0,0.002,minimum_error,B037,1404,2154,1935,0.8983286908077994,0.10167130919220058
540,200.0,0.002,minimum_error,B038,1313,2154,1931,0.8964716805942433,0.10352831940575669
540,200.0,0.002,minimum_error,B039,3095,2154,1954,0.9071494893221913,0.0928505106778087
540,200.0,0.002,minimum_error,B040,4705,2154,1911,0.8871866295264624,0.11281337047353757
540,200.0,0.002,minimum_error,B041,3075,2154,1959,0.9094707520891365,0.09052924791086348
540,200.0,0.002,minimum_error,B042,3357,2154,1914,0.8885793871866295,0.11142061281337046
540,200.0,0.002,minimum_error,B043,2177,2154,1937,0.8992571959145775,0.10074280408542247
540,200.0,0.002,minimum_error,B044,1995,2154,1938,0.8997214484679665,0.10027855153203347
540,200.0,0.002,minimum_error,B045,3050,2154,1938,0.8997214484679665,0.10027855153203347
540,200.0,0.002,minimum_error,B046,9319,2154,1931,0.8964716805942433,0.10352831940575669
540,200.0,0.002,minimum_error,B047,8396,2154,1907,0.8853296193129062,0.11467038068709379
540,200.0,0.002,minimum_error,B048,5295,2154,1900,0.8820798514391829,0.11792014856081712
540,200.0,0.002,minimum_error,B049,447,2154,1931,0.8964716805942433,0.10352831940575669
540,200.0,0.002,minimum_error,B050,7212,2154,1939,0.9001857010213556,0.09981429897864436
540,200.0,0.002,minimum_error,B051,6743,2154,1917,0.8899721448467967,0.11002785515320335
540,200.0,0.002,minimum_error,B052,8937,2154,1943,0.9020427112349118,0.09795728876508825
540,200.0,0.002,minimum_error,B053,1186,2154,1935,0.8983286908077994,0.10167130919220058
540,200.0,0.002,minimum_error,B054,3605,2154,1933,0.8974001857010213,0.10259981429897869
540,200.0,0.002,minimum_error,B055,9324,2154,1942,0.9015784586815228,0.09842154131847725
540,200.0,0.002,minimum_error,B056,562,2154,1951,0.9057567316620242,0.0942432683379758
540,200.0,0.002,minimum_error,B057,1202,2154,1953,0.9066852367688022,0.0933147632311978
540,200.0,0.002,minimum_error,B058,9929,2154,1928,0.8950789229340761,0.1049210770659239
540,200.0,0.002,minimum_error,B059,3604,2154,1944,0.9025069637883009,0.09749303621169914
540,200.0,0.002,minimum_error,B060,1223,2154,1911,0.8871866295264624,0.11281337047353757
540,200.0,0.002,minimum_error,B061,6305,2154,1949,0.9048282265552461,0.09517177344475392
540,200.0,0.002,minimum_error,B062,9866,2154,1923,0.8927576601671309,0.10724233983286913
540,200.0,0.002,minimum_error,B063,1784,2154,1921,0.8918291550603529,0.10817084493964713
540,200.0,0.002,minimum_error,B064,2572,2154,1946,0.903435468895079,0.09656453110492103
540,200.0,0.002,minimum_error,B065,2260,2154,1934,0.8978644382544104,0.10213556174558958
540,200.0,0.002,minimum_error,B066,794,2154,1935,0.8983286908077994,0.10167130919220058
540,200.0,0.002,minimum_error,B067,3145,2154,1907,0.8853296193129062,0.11467038068709379
540,200.0,0.002,minimum_error,B068,1834,2154,1929,0.8955431754874652,0.1044568245125348
540,200.0,0.002,minimum_error,B069,9399,2154,1945,0.9029712163416899,0.09702878365831014
540,200.0,0.002,minimum_error,B070,8257,2154,1946,0.903435468895079,0.09656453110492103
540,200.0,0.002,minimum_error,B071,5834,2154,1934,0.8978644382544104,0.10213556174558958
540,200.0,0.002,minimum_error,B072,6141,2154,1911,0.8871866295264624,0.11281337047353757
540,200.0,0.002,minimum_error,B073,7963,2154,1926,0.8941504178272981,0.1058495821727019
540,200.0,0.002,minimum_error,B074,7707,2154,1910,0.8867223769730733,0.11327762302692668
540,200.0,0.002,minimum_error,B075,8833,2154,1937,0.8992571959145775,0.10074280408542247
540,200.0,0.002,minimum_error,B076,706,2154,1932,0.8969359331476323,0.10306406685236769
540,200.0,0.002,minimum_error,B077,7266,2154,1922,0.8922934076137419,0.10770659238625813
540,200.0,0.002,minimum_error,B078,1660,2154,1899,0.8816155988857939,0.11838440111420612
540,200.0,0.002,minimum_error,B079,7159,2154,1963,0.9113277623026926,0.08867223769730737
540,200.0,0.002,minimum_error,B080,6584,2154,1919,0.8909006499535748,0.10909935004642524
540,200.0,0.002,minimum_error,B081,6562,2154,1940,0.9006499535747446,0.09935004642525536
540,200.0,0.002,minimum_error,B082,5908,2154,1936,0.8987929433611885,0.10120705663881147
540,200.0,0.002,minimum_error,B083,8948,2154,1907,0.8853296193129062,0.11467038068709379
540,200.0,0.002,minimum_error,B084,6717,2154,1944,0.9025069637883009,0.09749303621169914
540,200.0,0.002,minimum_error,B085,7961,2154,1915,0.8890436397400185,0.11095636025998146
540,200.0,0.002,minimum_error,B086,511,2154,1938,0.8997214484679665,0.10027855153203347
540,200.0,0.002,minimum_error,B087,6409,2154,1914,0.8885793871866295,0.11142061281337046
540,200.0,0.002,minimum_error,B088,4951,2154,1928,0.8950789229340761,0.1049210770659239
540,200.0,0.002,minimum_error,B089,2793,2154,1935,0.8983286908077994,0.10167130919220058
540,200.0,0.002,minimum_error,B090,1821,2154,1910,0.8867223769730733,0.11327762302692668
540,200.0,0.002,minimum_error,B091,7558,2154,1964,0.9117920148560817,0.08820798514391825
540,200.0,0.002,minimum_error,B092,5807,2154,1960,0.9099350046425255,0.09006499535747448
540,200.0,0.002,minimum_error,B093,1449,2154,1942,0.9015784586815228,0.09842154131847725
540,200.0,0.002,minimum_error,B094,9236,2154,1956,0.9080779944289693,0.0919220055710307
540,200.0,0.002,minimum_error,B095,5496,2154,1936,0.8987929433611885,0.10120705663881147
540,200.0,0.002,minimum_error,B096,610,2154,1936,0.8987929433611885,0.10120705663881147
540,200.0,0.002,minimum_error,B097,6534,2154,1915,0.8890436397400185,0.11095636025998146
540,200.0,0.002,minimum_error,B098,3432,2154,1932,0.8969359331476323,0.10306406685236769
540,200.0,0.002,minimum_error,B099,8013,2154,1934,0.8978644382544104,0.10213556174558958
540,200.0,0.002,minimum_error,B100,4441,2154,1917,0.8899721448467967,0.11002785515320335
1347,100.0,0.008,minimum_error,C001,5699,1347,1240,0.9205642167780252,0.07943578322197475
1347,100.0,0.008,minimum_error,C002,4788,1347,1235,0.9168522642910171,0.08314773570898293
1347,100.0,0.008,minimum_error,C003,1120,1347,1219,0.9049740163325909,0.09502598366740911
1347,100.0,0.008,minimum_error,C004,2293,1347,1224,0.9086859688195991,0.09131403118040093
1347,100.0,0.008,minimum_error,C005,9025,1347,1214,0.9012620638455828,0.09873793615441717
1347,100.0,0.008,minimum_error,C006,8614,1347,1232,0.9146250927988122,0.08537490720118779
1347,100.0,0.008,minimum_error,C007,1479,1347,1225,0.9094283593170007,0.09057164068299928
1347,100.0,0.008,minimum_error,C008,4764,1347,1206,0.8953229398663697,0.10467706013363032
1347,100.0,0.008,minimum_error,C009,2020,1347,1220,0.9057164068299925,0.09428359317000745
1347,100.0,0.008,minimum_error,C010,4486,1347,1214,0.9012620638455828,0.09873793615441717
1347,100.0,0.008,minimum_error,C011,9788,1347,1216,0.902746844840386,0.09725315515961397
1347,100.0,0.008,minimum_error,C012,2133,1347,1223,0.9079435783221975,0.09205642167780248
1347,100.0,0.008,minimum_error,C013,8928,1347,1214,0.9012620638455828,0.09873793615441717
1347,100.0,0.008,minimum_error,C014,5947,1347,1217,0.9034892353377877,0.09651076466221231
1347,100.0,0.008,minimum_error,C015,2897,1347,1216,0.902746844840386,0.09725315515961397
1347,100.0,0.008,minimum_error,C016,4507,1347,1235,0.9168522642910171,0.08314773570898293
1347,100.0,0.008,minimum_error,C017,7078,1347,1207,0.8960653303637713,0.10393466963622866
1347,100.0,0.008,minimum_error,C018,1024,1347,1221,0.9064587973273942,0.0935412026726058
1347,100.0,0.008,minimum_error,C019,6737,1347,1228,0.9116555308092057,0.0883444691907943
1347,100.0,0.008,minimum_error,C020,5330,1347,1233,0.9153674832962138,0.08463251670378624
1347,100.0,0.008,minimum_error,C021,4225,1347,1218,0.9042316258351893,0.09576837416481065
1347,100.0,0.008,minimum_error,C022,3578,1347,1224,0.9086859688195991,0.09131403118040093
1347,100.0,0.008,minimum_error,C023,3793,1347,1207,0.8960653303637713,0.10393466963622866
1347,100.0,0.008,minimum_error,C024,3887,1347,1218,0.9042316258351893,0.09576837416481065
1347,100.0,0.008,minimum_error,C025,5121,1347,1208,0.896807720861173,0.103192279138827
1347,100.0,0.008,minimum_error,C026,3362,1347,1227,0.910913140311804,0.08908685968819596
1347,100.0,0.008,minimum_error,C027,8300,1347,1225,0.9094283593170007,0.09057164068299928
1347,100.0,0.008,minimum_error,C028,2033,1347,1232,0.9146250927988122,0.08537490720118779
