training_size,model_type,seeds,df,trial_id,lambda_type,lambda,total,correct,accuracy,misclassification
540,ridge,333,46,E083,lambda_1se,1.0855093490043985,2695,2323,0.8619666048237477,0.13803339517625235
540,ridge,2599,46,E084,lambda_1se,1.0855093490043985,2695,2322,0.861595547309833,0.138404452690167
540,ridge,4487,46,E085,lambda_1se,1.0855093490043985,2695,2313,0.8582560296846011,0.14174397031539887
540,ridge,9856,46,E086,lambda_1se,1.0855093490043985,2695,2275,0.8441558441558441,0.1558441558441559
540,ridge,6479,46,E087,lambda_1se,1.0855093490043985,2695,2311,0.8575139146567718,0.14248608534322815
540,ridge,6269,46,E088,lambda_1se,1.0855093490043985,2695,2316,0.859369202226345,0.14063079777365495
540,ridge,5029,46,E089,lambda_1se,1.0855093490043985,2695,2311,0.8575139146567718,0.14248608534322815
540,ridge,2232,46,E090,lambda_1se,1.0855093490043985,2695,2307,0.8560296846011132,0.14397031539888683
540,ridge,775,46,E091,lambda_1se,1.0855093490043985,2695,2303,0.8545454545454545,0.1454545454545455
540,ridge,6271,46,E092,lambda_1se,1.0855093490043985,2695,2278,0.8452690166975881,0.15473098330241186
540,ridge,8374,46,E093,lambda_1se,1.0855093490043985,2695,2297,0.8523191094619667,0.14768089053803335
540,ridge,2698,46,E094,lambda_1se,1.0855093490043985,2695,2281,0.8463821892393321,0.15361781076066794
540,ridge,1851,46,E095,lambda_1se,1.0855093490043985,2695,2314,0.8586270871985158,0.14137291280148423
540,ridge,7920,46,E096,lambda_1se,1.0855093490043985,2695,2319,0.8604823747680891,0.1395176252319109
540,ridge,1166,46,E097,lambda_1se,1.0855093490043985,2695,2306,0.8556586270871985,0.14434137291280147
540,ridge,9283,46,E098,lambda_1se,1.0855093490043985,2695,2323,0.8619666048237477,0.13803339517625235
540,ridge,4065,46,E099,lambda_1se,1.0855093490043985,2695,2292,0.8504638218923933,0.14953617810760667
540,ridge,4728,46,E100,lambda_1se,1.0855093490043985,2695,2322,0.861595547309833,0.138404452690167
1347,ridge,4377,53,F001,lambda_1se,0.1578388007813352,2695,2364,0.8771799628942486,0.1228200371057514
1347,ridge,3157,53,F002,lambda_1se,0.1578388007813352,2695,2401,0.8909090909090909,0.10909090909090913
1347,ridge,6168,53,F003,lambda_1se,0.1578388007813352,2695,2386,0.885343228200371,0.11465677179962896
1347,ridge,5706,53,F004,lambda_1se,0.1578388007813352,2695,2374,0.8808905380333952,0.11910946196660477
1347,ridge,6464,53,F005,lambda_1se,0.1578388007813352,2695,2391,0.8871985157699444,0.11280148423005565
1347,ridge,1991,53,F006,lambda_1se,0.1578388007813352,2695,2390,0.8868274582560297,0.11317254174397029
1347,ridge,8601,53,F007,lambda_1se,0.1578388007813352,2695,2372,0.8801484230055658,0.11985157699443416
1347,ridge,5214,53,F008,lambda_1se,0.1578388007813352,2695,2375,0.8812615955473099,0.11873840445269013
1347,ridge,6396,53,F009,lambda_1se,0.1578388007813352,2695,2377,0.8820037105751392,0.11799628942486085
1347,ridge,3946,53,F010,lambda_1se,0.1578388007813352,2695,2386,0.885343228200371,0.11465677179962896
1347,ridge,3661,53,F011,lambda_1se,0.1578388007813352,2695,2374,0.8808905380333952,0.11910946196660477
1347,ridge,9700,53,F012,lambda_1se,0.1578388007813352,2695,2379,0.8827458256029684,0.11725417439703156
1347,ridge,3235,53,F013,lambda_1se,0.1578388007813352,2695,2377,0.8820037105751392,0.11799628942486085
1347,ridge,3940,53,F014,lambda_1se,0.1578388007813352,2695,2389,0.8864564007421151,0.11354359925788493
1347,ridge,2076,53,F015,lambda_1se,0.1578388007813352,2695,2372,0.8801484230055658,0.11985157699443416
1347,ridge,9460,53,F016,lambda_1se,0.1578388007813352,2695,2344,0.8697588126159554,0.13024118738404455
1347,ridge,449,53,F017,lambda_1se,0.1578388007813352,2695,2386,0.885343228200371,0.11465677179962896
1347,ridge,2279,53,F018,lambda_1se,0.1578388007813352,2695,2371,0.8797773654916512,0.1202226345083488
1347,ridge,1416,53,F019,lambda_1se,0.1578388007813352,2695,2360,0.87569573283859,0.12430426716140996
1347,ridge,218,53,F020,lambda_1se,0.1578388007813352,2695,2392,0.887569573283859,0.11243042671614101
1347,ridge,821,53,F021,lambda_1se,0.1578388007813352,2695,2368,0.8786641929499073,0.12133580705009273
1347,ridge,7642,53,F022,lambda_1se,0.1578388007813352,2695,2367,0.8782931354359926,0.12170686456400737
1347,ridge,8235,53,F023,lambda_1se,0.1578388007813352,2695,2394,0.8883116883116883,0.11168831168831173
1347,ridge,9159,53,F024,lambda_1se,0.1578388007813352,2695,2390,0.8868274582560297,0.11317254174397029
1347,ridge,864,53,F025,lambda_1se,0.1578388007813352,2695,2399,0.8901669758812616,0.10983302411873841
1347,ridge,4909,53,F026,lambda_1se,0.1578388007813352,2695,2381,0.8834879406307977,0.11651205936920228
1347,ridge,3930,53,F027,lambda_1se,0.1578388007813352,2695,2361,0.8760667903525047,0.12393320964749532
1347,ridge,4450,53,F028,lambda_1se,0.1578388007813352,2695,2381,0.8834879406307977,0.11651205936920228
