training_size,trial_i,rf_mtry,rf_ntree,rf_replace,trial_seed,total,correct,accuracy,misclassification,trial_run,seed
1347.0,42,1,10.0,TRUE,79924,1348,1166,0.8649851632047477,0.13501483679525228,42,79924
108.0,43,1,10.0,TRUE,94289,2587,2103,0.8129107073830691,0.18708929261693086,43,94289
540.0,43,1,10.0,TRUE,18641,2155,1704,0.7907192575406032,0.20928074245939676,43,18641
1347.0,43,1,10.0,TRUE,27829,1348,1133,0.8405044510385756,0.15949554896142437,43,27829
108.0,44,1,10.0,TRUE,77327,2587,2144,0.8287591805179745,0.17124081948202552,44,77327
540.0,44,1,10.0,TRUE,3341,2155,1813,0.8412993039443155,0.1587006960556845,44,3341
1347.0,44,1,10.0,TRUE,67104,1348,1135,0.8419881305637982,0.15801186943620182,44,67104
108.0,45,1,10.0,TRUE,81170,2587,1919,0.7417858523386162,0.25821414766138384,45,81170
540.0,45,1,10.0,TRUE,66228,2155,1762,0.8176334106728538,0.18236658932714622,45,66228
1347.0,45,1,10.0,TRUE,94321,1348,1087,0.8063798219584569,0.19362017804154308,45,94321
108.0,46,1,10.0,TRUE,87367,2587,2102,0.8125241592578276,0.18747584074217238,46,87367
540.0,46,1,10.0,TRUE,69643,2155,1709,0.7930394431554524,0.20696055684454762,46,69643
1347.0,46,1,10.0,TRUE,18479,1348,1147,0.8508902077151336,0.14910979228486643,46,18479
108.0,47,1,10.0,TRUE,9741,2587,2062,0.7970622342481639,0.20293776575183609,47,9741
540.0,47,1,10.0,TRUE,80664,2155,1799,0.8348027842227378,0.1651972157772622,47,80664
1347.0,47,1,10.0,TRUE,52105,1348,1156,0.857566765578635,0.14243323442136502,47,52105
108.0,48,1,10.0,TRUE,69257,2587,2116,0.8179358330112099,0.18206416698879013,48,69257
540.0,48,1,10.0,TRUE,21603,2155,1808,0.8389791183294664,0.16102088167053363,48,21603
1347.0,48,1,10.0,TRUE,62905,1348,1127,0.836053412462908,0.16394658753709201,48,62905
108.0,49,1,10.0,TRUE,14680,2587,2152,0.8318515655199072,0.16814843448009276,49,14680
540.0,49,1,10.0,TRUE,95768,2155,1787,0.8292343387470997,0.17076566125290027,49,95768
1347.0,49,1,10.0,TRUE,98867,1348,1153,0.8553412462908012,0.14465875370919878,49,98867
108.0,50,1,10.0,TRUE,49571,2587,2189,0.8461538461538461,0.15384615384615385,50,49571
540.0,50,1,10.0,TRUE,91829,2155,1720,0.7981438515081206,0.20185614849187938,50,91829
1347.0,50,1,10.0,TRUE,37158,1348,1149,0.8523738872403561,0.14762611275964388,50,37158
108.0,51,1,10.0,TRUE,82582,2587,2111,0.8160030923850019,0.1839969076149981,51,82582
540.0,51,1,10.0,TRUE,55820,2155,1811,0.8403712296983759,0.15962877030162415,51,55820
1347.0,51,1,10.0,TRUE,79447,1348,1164,0.8635014836795252,0.13649851632047483,51,79447
108.0,52,1,10.0,TRUE,35149,2587,2135,0.8252802473908002,0.1747197526091998,52,35149
540.0,52,1,10.0,TRUE,20821,2155,1829,0.8487238979118329,0.1512761020881671,52,20821
1347.0,52,1,10.0,TRUE,78357,1348,1175,0.8716617210682492,0.12833827893175076,52,78357
108.0,53,1,10.0,TRUE,68199,2587,1643,0.6350985697719366,0.36490143022806343,53,68199
540.0,53,1,10.0,TRUE,43134,2155,1825,0.8468677494199536,0.15313225058004643,53,43134
1347.0,53,1,10.0,TRUE,84510,1348,1149,0.8523738872403561,0.14762611275964388,53,84510
108.0,54,1,10.0,TRUE,60099,2587,2141,0.8275995361422497,0.17240046385775032,54,60099
540.0,54,1,10.0,TRUE,73948,2155,1776,0.8241299303944316,0.1758700696055684,54,73948
