training_size,cost,gamma,seeds,total,correct,testfold_name,accuracy,misclassification
108.0,1.0,0.0,46243,11,6,Fold06,0.5454545454545454,0.4545454545454546
108.0,1.0,0.0,46243,11,6,Fold07,0.5454545454545454,0.4545454545454546
108.0,1.0,0.0,46243,11,6,Fold08,0.5454545454545454,0.4545454545454546
108.0,1.0,0.0,46243,11,6,Fold09,0.5454545454545454,0.4545454545454546
108.0,1.0,0.0,46243,9,5,Fold10,0.5555555555555556,0.4444444444444444
540.0,1.0,0.0,38809,54,30,Fold01,0.5555555555555556,0.4444444444444444
540.0,1.0,0.0,38809,54,30,Fold02,0.5555555555555556,0.4444444444444444
540.0,1.0,0.0,38809,54,30,Fold03,0.5555555555555556,0.4444444444444444
540.0,1.0,0.0,38809,54,30,Fold04,0.5555555555555556,0.4444444444444444
540.0,1.0,0.0,38809,54,30,Fold05,0.5555555555555556,0.4444444444444444
540.0,1.0,0.0,38809,54,30,Fold06,0.5555555555555556,0.4444444444444444
540.0,1.0,0.0,38809,54,30,Fold07,0.5555555555555556,0.4444444444444444
540.0,1.0,0.0,38809,54,30,Fold08,0.5555555555555556,0.4444444444444444
540.0,1.0,0.0,38809,54,30,Fold09,0.5555555555555556,0.4444444444444444
540.0,1.0,0.0,38809,54,30,Fold10,0.5555555555555556,0.4444444444444444
1347.0,1.0,0.0,40242,135,74,Fold01,0.5481481481481482,0.45185185185185184
1347.0,1.0,0.0,40242,135,74,Fold02,0.5481481481481482,0.45185185185185184
1347.0,1.0,0.0,40242,134,74,Fold03,0.5522388059701493,0.4477611940298507
1347.0,1.0,0.0,40242,135,74,Fold04,0.5481481481481482,0.45185185185185184
1347.0,1.0,0.0,40242,135,74,Fold05,0.5481481481481482,0.45185185185185184
1347.0,1.0,0.0,40242,134,74,Fold06,0.5522388059701493,0.4477611940298507
1347.0,1.0,0.0,40242,134,74,Fold07,0.5522388059701493,0.4477611940298507
1347.0,1.0,0.0,40242,135,74,Fold08,0.5481481481481482,0.45185185185185184
1347.0,1.0,0.0,40242,135,74,Fold09,0.5481481481481482,0.45185185185185184
1347.0,1.0,0.0,40242,135,75,Fold10,0.5555555555555556,0.4444444444444444
108.0,5.0,0.0,17894,12,7,Fold01,0.5833333333333334,0.41666666666666663
108.0,5.0,0.0,17894,11,7,Fold02,0.6363636363636364,0.36363636363636365
108.0,5.0,0.0,17894,11,6,Fold03,0.5454545454545454,0.4545454545454546
108.0,5.0,0.0,17894,10,6,Fold04,0.6,0.4
108.0,5.0,0.0,17894,10,6,Fold05,0.6,0.4
108.0,5.0,0.0,17894,11,6,Fold06,0.5454545454545454,0.4545454545454546
108.0,5.0,0.0,17894,10,6,Fold07,0.6,0.4
108.0,5.0,0.0,17894,11,6,Fold08,0.5454545454545454,0.4545454545454546
108.0,5.0,0.0,17894,11,6,Fold09,0.5454545454545454,0.4545454545454546
108.0,5.0,0.0,17894,11,6,Fold10,0.5454545454545454,0.4545454545454546
540.0,5.0,0.0,95148,54,29,Fold01,0.5370370370370371,0.4629629629629629
540.0,5.0,0.0,95148,54,30,Fold02,0.5555555555555556,0.4444444444444444
540.0,5.0,0.0,95148,54,30,Fold03,0.5555555555555556,0.4444444444444444
540.0,5.0,0.0,95148,53,29,Fold04,0.5471698113207547,0.4528301886792453
540.0,5.0,0.0,95148,55,30,Fold05,0.5454545454545454,0.4545454545454546
540.0,5.0,0.0,95148,54,30,Fold06,0.5555555555555556,0.4444444444444444
540.0,5.0,0.0,95148,55,30,Fold07,0.5454545454545454,0.4545454545454546
540.0,5.0,0.0,95148,53,29,Fold08,0.5471698113207547,0.4528301886792453
540.0,5.0,0.0,95148,54,30,Fold09,0.5555555555555556,0.4444444444444444
540.0,5.0,0.0,95148,54,29,Fold10,0.5370370370370371,0.4629629629629629
1347.0,5.0,0.0,45364,134,73,Fold01,0.5447761194029851,0.4552238805970149
1347.0,5.0,0.0,45364,134,73,Fold02,0.5447761194029851,0.4552238805970149
1347.0,5.0,0.0,45364,134,73,Fold03,0.5447761194029851,0.4552238805970149
1347.0,5.0,0.0,45364,134,73,Fold04,0.5447761194029851,0.4552238805970149
1347.0,5.0,0.0,45364,135,73,Fold05,0.5407407407407407,0.45925925925925926
1347.0,5.0,0.0,45364,135,73,Fold06,0.5407407407407407,0.45925925925925926
1347.0,5.0,0.0,45364,134,73,Fold07,0.5447761194029851,0.4552238805970149
1347.0,5.0,0.0,45364,135,74,Fold08,0.5481481481481482,0.45185185185185184
1347.0,5.0,0.0,45364,136,74,Fold09,0.5441176470588235,0.4558823529411765
1347.0,5.0,0.0,45364,136,74,Fold10,0.5441176470588235,0.4558823529411765
108.0,10.0,0.0,32669,10,6,Fold01,0.6,0.4
108.0,10.0,0.0,32669,11,7,Fold02,0.6363636363636364,0.36363636363636365
108.0,10.0,0.0,32669,11,7,Fold03,0.6363636363636364,0.36363636363636365
108.0,10.0,0.0,32669,11,6,Fold04,0.5454545454545454,0.4545454545454546
